ID,Otázka,poopis otázky,Typ odpovědi,Odpověď modelu,Hodnocení,Správná odpověď,Poznámka,Kategorie popis,Kategorie_kód
Q1.1,Kdo měl v roce 2024 nejvyšší obrat? Uveď název zákazníka a hodnotu v Kč v přehledné tabulce.,,text,,,,,Základní přehled (jednoduché otázky),1
Q3.1,Seřaď zákazníky podle obatu od největšího po nejmenšího v roce 2024 a do tabulky doplň také zisk,,tabulka,,,,,Analýza zákazníků a segmentů,3
Q2.1,Který zákazník měl největší obrat v kategorii kat. 3.1 v roce 2024? Uveď název zákazníka a hodnotu v Kč v přehledné tabulce.,,text,,,,,Analýza produktů a kategorií,2
Q3.2,Kolik činil celkový obrat všech zákazníků v roce 2024? Odpověď uveď jako číslo v Kč s přesností na celé tisíce.,,číslo,,,,,Analýza zákazníků a segmentů,3
Q2.2,Seznam zákazníků kteří od nás nakoupili malé roličky (kat. 3.1) v roce 2024?,,číslo,,,,,Analýza produktů a kategorií,2
Q3.3,Jaký byl průměrný obrat na zákazníka v roce 2024?,,číslo,,,,,Analýza zákazníků a segmentů,3
Q1.2,Srovnání obratu 2024 oproti 2023 v %?,,číslo,,,,,Základní přehled (jednoduché otázky),1
Q6.1,Který měsíc měl nejvyšší obrat v roce 2024? Výsledek zobraz v tabulce s měsíci v prvním sloupci a hodnotami v Kč v dalším.,,text,,,,,Měsíční analýza firmy (trendové otázky),6
Q2.3,Který produkt měl nejvyšší prodej v kusech v roce 2024? Vytvoř tabulku produktů s hodnotami prodejů a marží.,,text,,,,,Analýza produktů a kategorií,2
Q1.3,Jaký byl celkový počet vydaných výdejek v roce 2024?,,číslo,,,,,Základní přehled (jednoduché otázky),1
Q6.2,Udělej tabulku měsíčních obratů za rok 2024 (leden–září). Výsledek zobraz v tabulce s měsíci v prvním sloupci a hodnotami v Kč v dalším.,,tabulka,,,,,Měsíční analýza firmy (trendové otázky),6
Q3.4,Vytvoř tabulku TOP 10 zákazníků podle obratu v roce 2024.,,tabulka,,,,,Analýza zákazníků a segmentů,3
Q2.4,Spočti obrat kategorie 3.1 po měsících v roce 2024. Výsledek zobraz v tabulce s měsíci v prvním sloupci a hodnotami v Kč v dalším.,,tabulka,,,,,Analýza produktů a kategorií,2
Q2.5,Spočti počet vydaných kusů za každý měsíc roku 2024. Výsledek zobraz v tabulce s měsíci v prvním sloupci a hodnotami v Kč v dalším.,,tabulka,,,,,Analýza produktů a kategorií,2
Q5.1,Vypočti marži po měsících v roce 2024. Vypočítej hrubou marži (v Kč a v %) a výsledek zobraz v tabulce.,,tabulka,,,,,Finanční a logistická efektivita,5
Q2.6,Zobraz průměrnou cenu za kus u malých roliček po měsících. Výsledek zobraz v tabulce s měsíci v prvním sloupci a hodnotami v Kč v dalším.,,tabulka,,,,,Analýza produktů a kategorií,2
Q2.7,"Zobraz měsíční obrat po jednotlivých kategoriích (3.1, Jumbo, Autocut). Výsledek zobraz v tabulce s měsíci v prvním sloupci a hodnotami v Kč v dalším.",,tabulka,,,,,Analýza produktů a kategorií,2
Q5.2,Které tři měsíce měly nejvyšší marži v roce 2024? Vypočítej hrubou marži (v Kč a v %) a výsledek zobraz v tabulce.,,text,,,,,Finanční a logistická efektivita,5
Q1.4,Jaký byl průměrný počet položek na výdejku v roce 2024?,,číslo,,,,,Základní přehled (jednoduché otázky),1
Q3.5,Kolik bylo nových zákazníků (první nákup) v roce 2024?,,číslo,,,,,Analýza zákazníků a segmentů,3
Q6.3,Porovnej obrat Q1 2024 vs Q1 2024.,,tabulka,,,,,Měsíční analýza firmy (trendové otázky),6
