CISLO VYDEJKY,C15,1;KOD ZBOZI,C50,2;NAZEV ZBOZI,C250,3;KATEGORIE,C250,4;MNOZSTVI,N11/1,5;NÁKUPNÍ CENA,N11/4,6;PRODEJNI CENA,N11/4,7$
24-10	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	480.0	12.4375	15.8000	
24-10	67582	TP skládaný BULKYSOFT EasyBag, 19x11cm cell.2vrst	3.3	240.0	10.1097	14.5000	
24-10	460201	Ručníky v roli KATRIN system Autocut 180m / 21cm, 1 vrst, běl.rec.	5.3	60.0	123.6298	175.0000	
24-10	16068	Zásobník KENNEDY na papírové ručníky skládané  "Z" "V" "M" , bílý, vel.M	13.1	46.0	313.5461	402.0000	
24-10	16078	Zásobník KENNEDY pěnového mýdla,800ml., bílý, dolévací	13.5	34.0	263.3000	402.0000	
24-10	16077	Zásobník KENNEDY tekutého mýdla,800ml, bílý,dolévací	13.5	41.0	213.4405	343.0000	
24-10	....	D1	25	194.0	10.0000	0.0000	
24-11	65500	Toaletní papír Jumbo 190 BulkySoft 145m, 2 vrst, cell, dutinka 76mm	3.2	576.0	26.6000	31.0000	
24-12	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	720.0	12.4375	14.9500	
24-12	255VPL	Toaletní papír Jumbo 240 PapLine 2 vrstvá celulóza	3.2	480.0	20.5518	25.3500	
24-12	117	Ručník v roli PapLine MAXI 100m / 20cm, 2 vrst, cell	5.1	360.0	27.9368	34.8000	
24-12	84572	Skládaný ručník Bulkysoft "V" 21cm x 24cm, 3600ks, 1 vrst, cell. PE obal	5.2	80.0	309.4020	395.0000	
24-12	....	D1	25	129.0	10.0000	0.0000	
24-13	092	Toaletní papír Jumbo Paperdi střed odvin 180m / 13,6cm, 2 vrst, cell	3.2	432.0	38.0895	52.0000	
24-13	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	2160.0	12.4375	15.8500	
24-13	255VPL	Toaletní papír Jumbo 240 PapLine 2 vrstvá celulóza	3.2	480.0	20.5518	26.0000	
24-13	83454	Skládaný ručník Bulkysoft "Z" 20,5cm x 24cm, 3750ks, 2 vrst, cell.	5.2	20.0	357.5193	460.0000	
24-13	16073	Zásobník KENNEDY TP průměr 190-280mm, bílý	13.4	1.0	244.7953	288.0000	
24-13	208401	Zásobník NEREZ matný na toaletní papír JUMBO - 190-240mm	13.4	2.0	311.5083	495.0000	
24-13	....	D1	25	194.0	10.0000	0.0000	
24-14	66991	TP malá role BulkySoft 12 x 15m, 2 vrst cell	3.1	2496.0	2.5992	3.1300	
24-14	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	720.0	12.4375	14.9000	
24-14	328	Skládaný ručník PapLine "V" 23cm x 25cm, zelené, 10kg, 1 vrst.	5.2	36.0	231.5653	277.0000	
24-14	....	D1	25	97.0	10.0000	0.0000	
24-15	84571	Skládaný ručník Bulkysoft "V" 21cm x 24cm, 3000ks, 2 vrst, cell. PE obal	5.2	80.0	275.1334	370.0000	
24-16	9202	Průmyslová role Paperdi PRATIKA bílá, 250m x 25cm, 29cm, 2 vrst	12	288.0	96.0564	148.0000	
24-16	....	D1	25	345.0	10.0000	0.0000	
24-17	092	Toaletní papír Jumbo Paperdi střed odvin 180m / 13,6cm, 2 vrst, cell	3.2	360.0	38.0895	49.0000	
24-17	9202	Průmyslová role Paperdi PRATIKA bílá, 250m x 25cm, 29cm, 2 vrst	12	96.0	96.0564	155.0000	
24-17	....	D1	25	194.0	10.0000	0.0000	
24-18	86450	Mýdlo v pěně KATRIN 1L - sunny garden (ex 954274)	7.1	6.0	111.5431	152.5000	
24-18	47345	Mýdlo v pěně KATRIN 0,5L - arctic breeze (ex 954281)	7.1	2.0	96.7300	124.5000	
24-19	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	2880.0	12.4375	15.0000	
24-19	291VPL	Toaletní papír Jumbo 280 PapLine 2 vrstvy, celulóza	3.2	288.0	31.7492	38.0000	
24-19	3271	Skládaný ručník PapLine "V" 21cm x 25cm, 3000ks, 2 vrst, cell.01	5.2	72.0	237.5000	289.0000	
24-19	82312	Skládaný ručník Bulkysoft "M" 21,5cm x 32cm, 3125ks, 2 vrst, cell.	5.2	44.0	461.6217	750.0000	
24-19	84585	Skládaný ručník Carind "V" 21cm x 25cm, 3150ks, 2 vrst, cell. (ex.7855)	5.2	108.0	339.0266	445.0000	
24-19	84586	Skládaný ručník Carind "V" 21cm x 22cm, 3150ks, 2 vrst, cell.(ex 7851)	5.2	120.0	306.1000	403.0000	
24-19	9202	Průmyslová role Paperdi PRATIKA bílá, 250m x 25cm, 29cm, 2 vrst	12	108.0	96.0564	175.0000	
24-19	76739	Vyšetř.podložka BulkySoft 60cm x 50m (ex 76502)	17	216.0	52.8410	66.0000	
24-19	....	D1	25	399.0	10.0000	0.0000	
24-19	999812	Palety EUR		16.0	0.0000	0.0000	
24-20	S166	Náhrada za používání, BMW	20	1.0	12396.6900	12396.6900	
24-21	66400	TP malá role BulkySoft 6 x 22,5m, 4 vrst cell	3.1	1680.0	7.0584	8.3900	
24-21	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	1320.0	12.4375	14.9500	
24-21	291VPL	Toaletní papír Jumbo 280 PapLine 2 vrstvy, celulóza	3.2	252.0	31.7492	38.8000	
24-21	....	D1	25	252.0	10.0000	0.0000	
24-22	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	1320.0	12.4375	15.2000	
24-22	....	D1	25	126.0	10.0000	0.0000	
24-23	225V	Toaletní papír Jumbo 180 - KATRIN 2511, 2 vrstvy, celulóza	3.2	180.0	15.0957	22.0000	
24-23	116	Ručník v roli Paperdi MAXI 180m / 21,5cm, 2 vrst, cell	5.1	48.0	58.2110	95.0000	
24-23	84571	Skládaný ručník Bulkysoft "V" 21cm x 24cm, 3000ks, 2 vrst, cell. PE obal	5.2	15.0	275.1334	399.0000	
24-23	32196	Ubrousky BulkySoft 24x24, 2 vrst,100ks, bílá (ex 32500)	16	60.0	12.3538	18.0000	
24-24	117	Ručník v roli PapLine MAXI 100m / 20cm, 2 vrst, cell	5.1	720.0	27.9368	34.8000	
24-24	123	Ručník v roli Paperdi Autocut 130m / 21cm, prům. 19cm, 2 vrst, cell	5.3	528.0	57.3867	77.0000	
24-24	....	D1	25	129.0	10.0000	0.0000	
24-25	84592	Skládaný ručník Bulkysoft "V" 21cm x 21cm, 3000ks, 2 vrst, cell. PE obal	5.2	72.0	241.6707	299.0000	
24-25	....	D1	25	88.0	10.0000	0.0000	
24-26	84571	Skládaný ručník Bulkysoft "V" 21cm x 24cm, 3000ks, 2 vrst, cell. PE obal	5.2	2.0	275.1334	610.0000	
24-26	76723	Vyšetř.podložka BulkySoft 60cm, 60cm x 67m	17 26	18.0	57.0000	156.0000	
24-27	816115	TP malá role SOAVEX TRIS 4 X 17m, 3 vrst cell	3.1	400.0	4.4097	6.0000	
24-28	68100	Kapesníčky kosmetické v krabičce Bulky Soft, 100ks, 2 vrstvy	1	80.0	11.5018	15.5000	
24-28	816115	TP malá role SOAVEX TRIS 4 X 17m, 3 vrst cell	3.1	1600.0	4.4097	6.5000	
24-28	225V	Toaletní papír Jumbo 180 - KATRIN 2511, 2 vrstvy, celulóza	3.2	48.0	15.0957	24.0000	
24-28	513A	Toaletní papír Jumbo 280 PapLine, 1 vrstvý, recyklovaný	3.2	18.0	18.2100	27.0000	
24-28	96705	Ručník v roli BulkySoft MAXI 108m / 19,2cm, 2 vrst, cell	5.1	120.0	38.4139	63.0000	
24-28	84571	Skládaný ručník Bulkysoft "V" 21cm x 24cm, 3000ks, 2 vrst, cell. PE obal	5.2	6.0	275.1334	415.0000	
24-28	....	D1	25	106.0	10.0000	0.0000	
24-29	112966	TP malá role KATRIN 160, 56 x 19m 2vrst cell	3.1	56.0	3.3038	5.0000	
24-29	255V	Toaletní papír Jumbo 230 - KATRIN 16365, 2 vrstvy, celulóza	3.2	24.0	24.3572	32.0000	
24-29	329	Skládaný ručník PapLine "V" 23cm x 25cm, šedé, 10kg, 1 vrst	5.2	1.0	231.6875	337.0000	
24-29	3271	Skládaný ručník PapLine "V" 21cm x 25cm, 3000ks, 2 vrst, cell.01	5.2	1.0	237.5000	345.5000	
24-30	255V	Toaletní papír Jumbo 230 - KATRIN 16365, 2 vrstvy, celulóza	3.2	24.0	24.3572	32.0000	
24-30	513A	Toaletní papír Jumbo 280 PapLine, 1 vrstvý, recyklovaný	3.2	72.0	18.2100	25.5000	
24-30	84571	Skládaný ručník Bulkysoft "V" 21cm x 24cm, 3000ks, 2 vrst, cell. PE obal	5.2	1.0	275.1334	375.0000	
24-30	010241	Tekuté mýdlo VIONE s antibakteriální přísadou, bílé 5l, EXTRA HYGIENE	7.1	8.0	80.0000	126.0000	
24-30	947	Odpadový pytel 70x110 typ50 modrý 120L,role 25 ks	19	250.0	2.2322	2.8100	
24-30	0295	MOP bavlna-jazykový 40cm, 2 dírky	22.2	6.0	69.2795	95.0000	
24-31	35298	Skládaný ručník KATRIN "V" 22,4cm x 23cm, 4000ks, 2 vrst, běl rec PE balení	5.2	2.0	406.7740	545.5000	
24-31	123	Ručník v roli Paperdi Autocut 130m / 21cm, prům. 19cm, 2 vrst, cell	5.3	1.0	57.3867	81.0000	
24-31	55102	Kuch.role BulkySoft Bobina 1 x 100m, 2vrst.cell	8	30.0	55.9740	74.5000	
24-32	68100	Kapesníčky kosmetické v krabičce Bulky Soft, 100ks, 2 vrstvy	1	160.0	11.5018	13.5600	
24-32	225VPL	Toaletní papír Jumbo 190 PapLine 2 vrstvy, celulóza	3.2	180.0	12.4375	15.0100	
24-32	255VPL	Toaletní papír Jumbo 240 PapLine 2 vrstvá celulóza	3.2	120.0	20.5518	24.3200	
24-32	3271	Skládaný ručník PapLine "V" 21cm x 25cm, 3000ks, 2 vrst, cell.01	5.2	32.0	237.5000	300.1500	
24-32	....	D1	25	106.0	10.0000	0.0000	
24-33	96715	Ručník v roli BulkySoft MIDI 60m / 21,5cm, 2 vrst, cell	5.1	36.0	23.6412	53.0000	
24-33	S155	Dopravné	20	1.0	0.0000	170.0000	
24-33	....	D1	25	22.0	10.0000	0.0000	
24-34	513A	Toaletní papír Jumbo 280 PapLine, 1 vrstvý, recyklovaný	3.2	60.0	18.2100	27.5000	
24-34	291VPL	Toaletní papír Jumbo 280 PapLine 2 vrstvy, celulóza	3.2	72.0	31.7492	41.0000	
24-34	84592	Skládaný ručník Bulkysoft "V" 21cm x 21cm, 3000ks, 2 vrst, cell. PE obal	5.2	40.0	241.6707	299.0000	
24-34	....	D1	25	115.0	10.0000	0.0000	
24-35	255VPL	Toaletní papír Jumbo 240 PapLine 2 vrstvá celulóza	3.2	240.0	20.5518	31.0000	
24-35	291VPL	Toaletní papír Jumbo 280 PapLine 2 vrstvy, celulóza	3.2	288.0	31.7492	41.0000	
24-35	3271	Skládaný ručník PapLine "V" 21cm x 25cm, 3000ks, 2 vrst, cell.01	5.2	36.0	237.5000	339.0000	
24-35	08919	Ručník v roli PapLine Autocut 150m / 19cm, prům. 17cm, 2 vrst, cell. dut.42	5.3	288.0	47.3700	84.0000	
24-35	460103	Ručníky v roli KATRIN system Autocut  160m / 21cm, 2 vrst, běl.rec. (ex 460102)	5.3	72.0	133.1237	185.0000	
24-35	86450	Mýdlo v pěně KATRIN 1L - sunny garden (ex 954274)	7.1	12.0	111.5431	150.0000	
24-36	092	Toaletní papír Jumbo Paperdi střed odvin 180m / 13,6cm, 2 vrst, cell	3.2	60.0	38.0895	57.0000	
24-36	255V	Toaletní papír Jumbo 230 - KATRIN 16365, 2 vrstvy, celulóza	3.2	120.0	24.3572	31.0000	
24-36	291V	Toaletní papír Jumbo 280 - KATRIN 2566, 2 vrstvy, celulóza	3.2	120.0	33.5621	45.0000	
24-36	117	Ručník v roli PapLine MAXI 100m / 20cm, 2 vrst, cell	5.1	60.0	27.9368	36.0000	
24-36	455VPL	Ručník v roli PapLine MIDI 50m / 20cm, 2 vrst, cell	5.1	180.0	16.3194	22.0000	
24-36	82312	Skládaný ručník Bulkysoft "M" 21,5cm x 32cm, 3125ks, 2 vrst, cell.	5.2	6.0	461.6217	649.0000	
24-36	11920	Ručník v roli Paperdi Autocut 140m / 20cm, prům.20cm, 2 vrst, cell	5.3 26	12.0	51.1600	70.0000	
24-37	16081	Zásobník KENNEDY senzorový - bezdotykový,tekutého mýdla, bílý, dolévací, 800ml	13.5	2.0	1022.1031	1422.0000	
24-37	S155	Dopravné	20	1.0	0.0000	110.0000	
24-37	....	D1	25	11.0	10.0000	0.0000	
